claim_id,state,district,latitude,longitude,claimed_area,recorded_area,submission_date,verification_date,approval_date,status,days_pending,claim_type,anomaly_flag,anomaly_type,severity
FRA-00001,Kerala,Wayanad,9.575032,75.687573,3.74,4.01,2025-10-17,,,Rejected,0,Community Forest Resource,False,None,None
FRA-00002,Jharkhand,Ranchi,22.074493,84.765233,7.83,6.72,2023-02-12,,,Rejected,0,Community Forest Right,False,None,None
FRA-00003,Chhattisgarh,Dantewada,20.946328,82.428291,0.59,0.64,2025-11-30,2026-01-14,2026-02-07,Approved,0,Community Forest Right,False,None,None
FRA-00004,Madhya Pradesh,Bhopal,22.949818,78.435918,5.49,5.1,2022-03-30,,,Rejected,0,Community Forest Right,False,None,None
FRA-00005,Madhya Pradesh,Mandla,24.073512,79.474079,12.99,13.29,2025-11-25,2026-03-17,2026-04-20,Pending,283,Community Forest Right,True,Delayed Processing,Medium
FRA-00006,Odisha,Sundargarh,21.042738,84.641745,5.87,5.36,2023-07-01,,,Rejected,0,Individual Forest Right,False,None,None
FRA-00007,Maharashtra,Nandurbar,20.13656,74.958487,7.2,6.7,2025-08-03,,,Pending,397,Community Forest Right,False,None,None
FRA-00008,Madhya Pradesh,Balaghat,24.054506,80.220183,6.32,5.5,2025-03-07,2025-06-05,,Under Verification,546,Community Forest Right,False,None,None
FRA-00009,Jharkhand,West Singhbhum,22.357179,84.488706,11.3,11.43,2025-04-12,2025-07-05,2025-08-30,Approved,0,Individual Forest Right,False,None,None
FRA-00010,Maharashtra,Nashik,18.363638,73.376931,2.09,2.17,2025-10-25,2025-11-12,2026-01-05,Approved,0,Community Forest Right,False,None,None
FRA-00011,Maharashtra,Chandrapur,21.884314,79.886238,0.67,0.71,2025-05-12,2026-01-14,,Pending,480,Community Forest Right,True,Delayed Processing,High
FRA-00012,Chhattisgarh,Dantewada,18.016227,82.166276,10.94,12.49,2023-01-01,,,Pending,1342,Community Forest Resource,False,None,None
FRA-00013,Odisha,Mayurbhanj,19.111357,86.431299,8.32,9.02,2024-12-22,2025-06-03,,Under Verification,621,Individual Forest Right,False,None,None
FRA-00014,Madhya Pradesh,Mandla,24.196805,80.326662,4.96,4.3,2025-03-07,2025-04-07,,Under Verification,546,Individual Forest Right,False,None,None
FRA-00015,Maharashtra,Nandurbar,18.513566,76.802259,8.47,7.87,2025-01-24,2025-07-03,2025-09-15,Under Verification,588,Community Forest Resource,True,Delayed Processing,Medium
FRA-00016,Kerala,Idukki,10.8143,76.29394,2.25,2.06,2023-11-24,2024-02-12,2024-03-17,Approved,0,Individual Forest Right,False,None,None
FRA-00017,Madhya Pradesh,Bhopal,22.572354,80.62168,12.96,11.29,2023-05-03,2023-07-14,2023-08-15,Approved,0,Community Forest Resource,False,None,None
FRA-00018,Maharashtra,Nashik,18.971989,76.783784,6.4,5.62,2025-09-11,2025-11-14,2026-01-10,Approved,0,Community Forest Resource,False,None,None
FRA-00019,Madhya Pradesh,Bhopal,22.151532,79.912854,12.11,10.69,2023-01-28,2023-04-05,2023-04-27,Approved,0,Community Forest Right,False,None,None
FRA-00020,Jharkhand,Gumla,24.186215,84.263847,41.64,41.46,2022-07-20,2022-10-07,2022-10-13,Approved,0,Individual Forest Right,True,Unusual Claim Area,Medium
FRA-00021,Jharkhand,Ranchi,22.411593,84.007544,6.16,6.95,2024-07-20,2024-10-27,2025-01-11,Approved,0,Community Forest Right,False,None,None
FRA-00022,Chhattisgarh,Kanker,19.483539,82.906128,8.9,9.01,2023-10-05,2023-12-28,2024-03-03,Approved,0,Community Forest Resource,False,None,None
FRA-00023,Chhattisgarh,Bastar,22.803895,80.240334,3.19,3.28,2025-10-14,2026-02-04,,Under Verification,325,Community Forest Resource,False,None,None
FRA-00024,Chhattisgarh,Bastar,21.096908,81.257675,8.96,9.02,2023-06-19,2023-09-28,2023-11-12,Approved,0,Community Forest Right,False,None,None
FRA-00025,Chhattisgarh,Surguja,20.286123,82.787055,14.07,12.0,2025-06-26,2025-07-31,,Under Verification,435,Individual Forest Right,False,None,None
FRA-00026,Maharashtra,Chandrapur,18.529826,75.792071,1.5,1.38,2023-08-07,2023-12-01,2024-02-13,Approved,0,Community Forest Resource,False,None,None
FRA-00027,Kerala,Wayanad,11.50359,76.386506,14.01,12.34,2022-10-03,2022-10-26,2023-01-09,Approved,0,Community Forest Right,False,None,None
FRA-00028,Maharashtra,Nandurbar,20.870449,74.628778,9.7,9.01,2024-09-27,2025-01-23,2025-02-03,Approved,0,Community Forest Right,False,None,None
FRA-00029,Odisha,Koraput,18.514183,86.470037,9.74,9.04,2024-06-23,,,Pending,803,Individual Forest Right,False,None,None
FRA-00030,Madhya Pradesh,Bhopal,24.362627,79.764078,2.66,2.29,2024-01-27,,,Pending,951,Individual Forest Right,False,None,None
FRA-00031,Madhya Pradesh,Mandla,22.911629,80.732352,14.6,12.58,2024-01-03,2024-02-13,2024-05-13,Approved,0,Community Forest Resource,False,None,None
FRA-00032,Jharkhand,Gumla,24.31441,84.828581,2.86,3.12,2022-12-29,2023-01-14,,Under Verification,1345,Community Forest Right,False,None,None
FRA-00033,Jharkhand,Gumla,22.667014,86.755811,2.07,2.3,2024-08-21,2024-12-13,2025-02-14,Approved,0,Individual Forest Right,False,None,None
FRA-00034,Chhattisgarh,Bastar,21.300166,81.195398,4.54,3.95,2023-07-26,2023-10-09,2023-12-04,Approved,0,Community Forest Resource,False,None,None
FRA-00035,Odisha,Koraput,18.961367,87.366803,3.09,3.52,2023-06-28,2023-09-22,2023-11-21,Approved,0,Community Forest Right,False,None,None
FRA-00036,Jharkhand,Ranchi,22.962989,86.018058,4.19,4.45,2024-12-22,,,Under Verification,621,Individual Forest Right,True,Delayed Processing,Medium
FRA-00037,Kerala,Idukki,11.369466,76.658469,2.31,2.59,2024-11-04,2025-01-05,2025-02-20,Approved,0,Community Forest Right,False,None,None
FRA-00038,Maharashtra,Nandurbar,18.76736,78.319435,6.0,6.45,2022-12-23,,,Pending,1351,Community Forest Resource,False,None,None
FRA-00039,Madhya Pradesh,Mandla,22.717284,78.719553,8.91,9.32,2024-08-10,2024-11-14,2024-12-16,Approved,0,Community Forest Resource,False,None,None
FRA-00040,Chhattisgarh,Bastar,19.418932,81.991562,9.48,8.32,2023-04-27,,,Pending,1226,Individual Forest Right,False,None,None
FRA-00041,Chhattisgarh,Bastar,18.231069,82.951808,9.36,10.11,2024-07-21,2024-10-19,2025-01-05,Approved,0,Community Forest Resource,False,None,None
FRA-00042,Jharkhand,West Singhbhum,22.999132,84.5165,10.47,11.7,2022-08-07,,,Rejected,0,Community Forest Resource,False,None,None
FRA-00043,Maharashtra,Nashik,18.200874,74.993586,96.5,107.83,2024-08-09,,,Pending,756,Community Forest Resource,True,Unusual Claim Area,High
FRA-00044,Kerala,Kannur,11.991708,76.36968,13.51,14.5,2025-07-07,,,Under Verification,424,Community Forest Right,True,Delayed Processing,High
FRA-00045,Jharkhand,Ranchi,23.783862,84.820728,5.37,6.0,2022-06-15,2022-07-24,2022-09-16,Approved,0,Community Forest Resource,False,None,None
FRA-00046,Chhattisgarh,Bastar,20.074339,80.992644,7.26,16.45,2024-05-10,2024-08-26,2024-11-13,Approved,0,Community Forest Right,True,Land Record Mismatch,Medium
FRA-00047,Madhya Pradesh,Mandla,22.746532,78.559947,13.43,14.78,2025-01-07,,,Rejected,0,Community Forest Resource,False,None,None
FRA-00048,Chhattisgarh,Dantewada,19.097108,81.307508,0.92,0.87,2025-10-22,,,Rejected,0,Community Forest Right,False,None,None
FRA-00049,Chhattisgarh,Bastar,22.534644,81.775678,10.11,8.85,2024-05-27,2024-08-04,2024-09-01,Approved,0,Community Forest Right,False,None,None
FRA-00050,Odisha,Mayurbhanj,20.318797,84.518752,13.25,12.37,2024-05-13,2024-06-02,2024-08-06,Approved,0,Community Forest Resource,False,None,None
FRA-00051,Madhya Pradesh,Mandla,22.560555,77.274473,14.38,12.4,2025-10-30,2022-05-05,,Pending,309,Community Forest Right,True,Delayed Processing,Medium
FRA-00052,Kerala,Wayanad,11.191909,75.544911,84.45,75.93,2022-12-10,,,Pending,1364,Community Forest Right,True,Unusual Claim Area,Medium
FRA-00053,Madhya Pradesh,Bhopal,24.322218,79.303187,13.67,13.16,2023-02-11,2023-05-20,2023-08-13,Approved,0,Community Forest Resource,False,None,None
FRA-00054,Odisha,Koraput,21.684909,85.546696,1.1,1.11,2025-09-16,2025-11-29,2026-02-24,Approved,0,Community Forest Right,False,None,None
FRA-00055,Jharkhand,Ranchi,23.083809,85.267658,73.11,82.31,2022-11-10,2023-02-21,2023-05-03,Approved,0,Community Forest Right,True,Unusual Claim Area,High
FRA-00056,Jharkhand,West Singhbhum,24.064336,86.073661,5.17,4.78,2026-02-07,2022-09-02,2022-10-08,Under Verification,209,Community Forest Right,True,Delayed Processing,High
FRA-00057,Odisha,Mayurbhanj,20.4502,84.596712,4.25,3.97,2025-05-05,,,Rejected,0,Individual Forest Right,False,None,None
FRA-00058,Maharashtra,Nandurbar,18.342452,78.760597,7.58,8.17,2025-11-15,,,Pending,293,Community Forest Right,False,None,None
FRA-00059,Madhya Pradesh,Bhopal,22.735589,78.617605,4.03,4.23,2024-01-26,,,Pending,952,Community Forest Right,False,None,None
FRA-00060,Kerala,Idukki,10.555432,76.134363,43.41,46.52,2023-01-30,2023-05-15,2023-07-27,Approved,0,Community Forest Right,True,Unusual Claim Area,Medium
FRA-00061,Kerala,Idukki,12.441532,77.081571,4.8,4.6,2023-09-12,2023-11-29,2023-12-20,Approved,0,Individual Forest Right,False,None,None
FRA-00062,Maharashtra,Chandrapur,20.78967,74.010236,13.09,13.05,2022-01-26,,,Pending,1682,Community Forest Right,False,None,None
FRA-00063,Odisha,Mayurbhanj,22.361991,84.136153,12.99,11.49,2022-05-14,2022-06-02,2022-08-19,Approved,0,Individual Forest Right,False,None,None
FRA-00064,Chhattisgarh,Kanker,22.05571,82.847377,1.74,1.61,2025-02-16,,,Rejected,0,Community Forest Resource,False,None,None
FRA-00065,Chhattisgarh,Dantewada,20.252572,81.328163,12.97,14.88,2023-09-18,,,Pending,1082,Community Forest Resource,False,None,None
FRA-00066,Madhya Pradesh,Balaghat,23.563788,78.058585,1.68,1.55,2025-02-04,2025-02-14,2025-04-12,Approved,0,Community Forest Resource,False,None,None
FRA-00067,Jharkhand,Simdega,22.0816,85.008367,4.6,1.97,2022-05-26,,,Pending,1562,Community Forest Right,True,Land Record Mismatch,Medium
FRA-00068,Chhattisgarh,Bastar,18.29819,82.377886,9.13,10.02,2023-08-15,2023-10-23,2023-12-05,Approved,0,Community Forest Right,False,None,None
FRA-00069,Maharashtra,Nashik,19.751035,77.784293,99.97,105.14,2025-05-21,2025-06-11,2025-07-15,Approved,0,Community Forest Right,True,Unusual Claim Area,Medium
FRA-00070,Maharashtra,Gadchiroli,21.052436,74.401526,8.02,7.88,2023-07-24,2023-10-16,2023-12-15,Approved,0,Community Forest Right,False,None,None
FRA-00071,Madhya Pradesh,Dindori,22.869903,78.333234,10.22,11.32,2023-11-07,2024-01-19,2024-02-29,Approved,0,Community Forest Right,False,None,None
FRA-00072,Maharashtra,Gadchiroli,19.819304,75.516137,5.19,5.92,2024-04-07,2024-04-17,,Under Verification,880,Community Forest Resource,False,None,None
FRA-00073,Jharkhand,West Singhbhum,22.13551,85.814538,9.53,9.53,2024-06-24,,,Rejected,0,Community Forest Resource,False,None,None
FRA-00074,Chhattisgarh,Surguja,20.19058,82.09475,2.26,2.58,2025-05-31,,,Rejected,0,Community Forest Right,False,None,None
FRA-00075,Maharashtra,Gadchiroli,20.209006,73.745674,14.89,16.73,2025-06-02,2025-01-25,,Under Verification,459,Community Forest Right,True,Delayed Processing,High
